"45tt1","Product A","$4.72"
"2","Product B","$4.65"
"3-ere3","Product C","$7.32"
"8271978","Product D","$3.21"
"2342134","Product E","$8.45"
"0x6","Product F","$2.13"
"0x7","Product G","$9.99"
"0x8","Product H","$6.54"
"0x9","Product I","$3.87"
"0x10","Product J","$1.23"
"0x11","Product K","$0.99"
"0x12","Product L","$10.23"
"0x13","Product M","$5.76"
"0x14","Product N","$2.33"
"0x15","Product O","$9.87"
"0x16","Product P","$1.43"
"0x17","Product Q","$3.21"
"0x18","Product R","$7.65"
"0x19","Product S","$5.43"
"0x20","Product T","$2.34"
"0x21","Product U","$8.76"
"0x22","Product V","$4.32"
"0x23","Product W","$6.78"
"0x24","Product X","$9.87"
"0x25","Product Y","$1.23"
"0x26","Product Z","$3.25"
